marketid	upstreamid	downstreamid	cites_cites	kn_similarity	_sq*(kn_similarity)	cites_size	cites_experience	cites_rankcmd	domain_similarity	match
21	6	8	0.57541138	0	0	0.70517957	0	0.11515534	0.8415429	0
21	6	9	0.86366504	0	0	0.86366504	0	0.34546602	0.039511256	0
21	6	10	0.38636336	0	0	0.49863723	0	0.17273301	0.32498407	0
21	7	1	0	0	0	0	0	0	0	0
21	7	2	0.45558602	0.17601179	0.030980149	0	0.16219045	0	0.71300149	1
21	7	3	0.45425951	0	0	0.4767406	0.048657134	0	0.18883108	0
21	7	4	0.46316785	0	0	0	0.27572376	0	0.74663544	0
21	7	5	0.31951743	0.10733853	0.011521559	0	0.032438088	0	0.87122679	0
21	7	6	0.51301116	0.1037691	0.010768026	0.3371065	0.016219044	0.46710849	0.14639913	0
21	7	7	0.48892885	0.28966409	0.083905287	0	0.47035229	0	0.35955536	0
21	7	8	0.3890101	0	0	0.4767406	0	0.077851415	0.87122679	0
21	7	9	0.58388561	0	0	0.58388561	0	0.23355424	0.076028138	0
21	7	10	0.26120314	0	0	0.3371065	0	0.11677712	0.29663196	0
21	8	1	0	0	0	0	0	0	0	0
21	8	2	0.43193212	0	0	0	0.15376955	0	0.26042554	0
21	8	3	0.43067446	0.84971583	0.72201699	0.45198834	0.046130866	0	0.69064265	0
21	8	4	0.43912026	0.0018816933	3.5407695*^-6	0	0.26140824	0	0.21702753	0
21	8	5	0.30292815	0.00040794184	1.6641653999999997*^-7	0	0.030753911	0	0.1850858	0
21	8	6	0.48637575	0.066890687	0.0044743638	0.31960401	0.015376955	0.44285631	0.78296673	0
21	8	7	0.46354377	0.028194098	0.00079490716	0	0.4459317	0	0.26014066	0
21	8	8	0.3688128	0.18956393	0.035934482	0.45198834	0	0.073809385	0.1850858	0
21	8	9	0.55357039	0.90540451	0.81975734	0.55357039	0	0.22142816	0.42244792	1
21	8	10	0.24764152	0.089621037	0.0080319308	0.31960401	0	0.11071408	0.339324	0
21	9	1	0	0	0	0	0	0	0	0
21	9	2	0.26252457	0	0	0	0.0934598	0	0.081423678	0
21	9	3	0.26176021	0.31753406	0.10082788	0.27471459	0.028037939	0	0.40237665	0
21	9	4	0.26689348	0.19631872	0.038541038	0	0.15888165	0	0.47880805	1
21	9	5	0.18411711	0	0	0	0.018691959	0	0.27005178	0
21	9	6	0.29561496	0.62108159	0.38574234	0.19425254	0.0093459794	0.26916423	0.81024867	0
21	9	7	0.28173789	0.0018723583	3.5057255*^-6	0	0.27103344	0	0.15667403	0
21	9	8	0.22416121	0.090464823	0.0081838844	0.27471459	0	0.044860706	0.27005178	0
21	9	9	0.33645529	0.14508671	0.021050151	0.33645529	0	0.13458212	0.27442735	0
21	9	10	0.15051436	0.4784773	0.22894053	0.19425254	0	0.067291059	0.42962784	0
21	10	1	0	0	0	0	0	0	0	0
21	10	2	0.44156027	0	0	0	0.15719722	0	0.37185043	0
21	10	3	0.44027457	0.86615837	0.75023031	0.46206355	0.047159165	0	0.84025759	1
21	10	4	0.44890866	0	0	0	0.26723525	0	0.13642703	0
21	10	5	0.3096807	0	0	0	0.031439442	0	0.10277402	0
21	10	6	0.49721751	0.093861371	0.0088099567	0.32672825	0.015719721	0.45272797	0.78644276	0
21	10	7	0.4738766	0.02506279	0.00062814343	0	0.45587194	0	0.16397062	0
21	10	8	0.37703395	0.16648696	0.027717909	0.46206355	0	0.075454667	0.10277402	0
21	10	9	0.56590998	0.90260386	0.81469375	0.56590998	0	0.22636399	0.29096752	0
21	10	10	0.25316167	0.10522416	0.011072124	0.32672825	0	0.11318199	0.30832207	0
22	1	1	0.23799656	0.02758928	0.00076116837	0	0.043778539	0	0.41017458	0
22	1	2	0	0	0	0	0	0	0	0
22	1	3	0.48658752	0.11425667	0.013054587	0	0.30644974	0	0.23417449	0
22	1	4	0.17563032	0.076748602	0.005890348	0	0	0	0	0
22	1	5	0.1488039	0.091956809	0.0084560551	0.54342431	0.14592846	0.41832826	0.72596115	0
22	1	6	0.27212396	0.038705327	0.0014981023	0	0.02918569	0	0.2292152	0
22	1	7	0.26417416	0.052497867	0.0027560261	0.4437041	0.014592845	0.083665654	0.076405071	0
22	1	8	0.53829271	0.10689105	0.011425696	0.54342431	0.29185691	0.25099695	0.39951533	0
22	1	9	0.42521501	0.10691787	0.011431431	0	0.14592846	0	0.21014866	0
22	1	10	0.5187068	0.040834367	0.0016674455	0	0.42319253	0	0.2292152	0
22	1	11	0.42346978	0.081918776	0.0067106858	0.31374618	0	0.12549849	0.65738142	0
22	1	12	0.39876345	0.037900176	0.0014364233	0.31374618	0.014592845	0.50199389	0.19584429	0
22	1	13	0.23799656	0.083884463	0.0070366031	0	0.043778539	0	0.1295473	0
22	1	14	0.3587074	0.025916222	0.00067165057	0	0.087557077	0	0.22659698	0
22	1	15	0.38404918	0.073838577	0.0054521356	0	0.24807838	0	0.66071981	0
22	1	16	0.62749237	0.046957012	0.0022049609	0.62749237	0.24807838	0.25099695	0.38599411	0
22	1	17	0.49056107	0.080293015	0.0064469683	0.54342431	0.30644974	0.23008053	0.20854501	0
22	1	18	0.43132177	0.023492439	0.00055189466	0	0.4815639	0	0.3072798	0
22	1	19	0.49548072	0.33720273	0.11370568	0.4437041	0.072964229	0.16733131	0.20219679	1
22	1	20	0	0.174798	0.030554339	0	0	0	0	0
22	1	21	0.48565909	0.051283475	0.0026299949	0.54342431	0.14592846	0.083665654	0	0
22	2	1	0	0.064373024	0.0041438863	0	0	0	0.19624647	0
22	2	2	0	0	0	0	0	0	0	0
22	2	3	0	0.19548437	0.03821414	0	0	0	0.27487528	0
22	2	4	0	0.1744823	0.030444073	0	0	0	0	0
22	2	5	0	0.52144623	0.27190617	0	0	0	0.89554399	1
22	2	6	0	0.091124028	0.0083035883	0	0	0	0.21134235	0
22	2	7	0	0.039208692	0.0015373215	0	0	0	0.070447452	0
22	2	8	0	0.39119461	0.15303323	0	0	0	0.41201526	0
22	2	9	0	0.24620943	0.060619082	0	0	0	0.3999787	0
