marketid	upstreamid	downstreamid	cites_cites	cites_size	kn_similarity	kn_similarity_sq	domain_similarity	cites_rankcmd	cites_experience	match	removeup	removedown
14	10	18	.20779949	0	.083234526	.0069279862	.78744733	0	.13128842	0	0	0
14	10	19	0	0	0	0	.048181206	0	.013128842	0	0	0
14	10	20	.31325078	.40734687	.056907076	.0032384153	.29314491	.19955838	.013128842	0	0	0
14	10	21	.29375538	0	.13865782	.019225992	.67897475	0	.498896	0	0	0
14	10	22	.36608157	.28803772	.078934848	.0062307101	.40170005	0	0	0	0	0
14	10	23	.14899068	0	.085898042	.0073784734	.66712439	0	.1575461	0	0	0
14	10	24	.25524411	0	.004472292	.000020001396	.41137832	0	.078773052	0	0	0
14	10	25	.32156622	.28803772	.70721281	.50014997	.86345577	.099779189	.065644212	1	0	0
14	10	26	.34234753	.40734687	.0046551656	.000021670567	.69035059	.13303892	.28883451	0	0	0
14	11	1	.089452207	0	.028154122	.00079265458	.5222798	0	.11238138	0	0	0
14	11	2	.053343274	0	.024263419	.0005887135	.34468707	0	.012486819	0	0	0
14	11	3	.39191496	0	.22154374	.049081631	.76680464	0	.2497364	0	0	1
14	11	4	.34122086	.38742694	.048713762	.0023730306	.49533415	.18979965	.26222318	0	0	0
14	11	5	.20591694	.27395219	.073235177	.0053633912	.29420882	0	.012486819	0	0	0
14	11	6	.25884366	.27395219	.094713971	.0089707365	.23732647	.3795993	0	0	0	0
14	11	7	.37668276	.38742694	.12063611	.01455307	.44852331	.12653309	.16232866	0	0	0
14	11	8	.19103231	0	.22659627	.051345866	.67688596	0	.14984183	0	0	0
14	11	9	.21783482	0	.16268045	.026464928	.75240535	0	.11238138	0	0	0
14	11	10	.47449914	.47449914	.13309412	.017714044	.38182107	.15816638	.1248682	0	0	1
14	11	11	.41018569	.27395219	.10783434	.011628245	.65618515	0	.21227592	0	0	1
14	11	12	.19123206	0	.074875116	.005606283	.49241012	0	.22476275	0	0	0
14	11	13	.12529936	0	.039731529	.0015785943	.44316912	0	.099894553	0	0	0
14	11	14	.066330068	0	.024263419	.0005887135	.41782382	0	.087407738	0	0	0
14	11	15	.39843839	.38742694	.24093394	.058049165	.50058675	.12653311	.099894553	0	0	1
14	11	16	.38850725	.27395219	.032556437	.0010599216	.68988353	0	.27471003	0	0	1
14	11	17	.41045946	.27395219	.12596822	.015867991	.71394408	.094899833	.0624341	0	0	1
14	11	18	.19763775	0	.13388135	.017924214	.76977825	0	.1248682	0	0	0
14	11	19	0	0	.44091609	.194407	0	0	.012486819	1	0	0
14	11	20	.29793227	.38742694	.076593749	.0058666025	.27754557	.18979964	.012486819	0	0	0
14	11	21	.27939025	0	.028093379	.00078923797	.42229843	0	.47449914	0	0	0
14	11	22	.34817958	.27395219	.10429876	.010878232	.40942043	0	0	0	0	0
14	11	23	.14170478	0	.046457026	.0021582553	.49241012	0	.14984183	0	0	0
