"marketid"	"upstreamid"	"downstreamid"	"payoff"	"originalmatch"	"storedmatch"	"urmax"	"drmax"	"urmin"	"drmin"	"removeU"	"removeD"
4	3	6	0.06895768426190639	0	0	""	6.677924003764453	0	""	0	1
4	3	7	0	0	0	""	""	""	""	0	0
4	3	8	0	0	0	""	""	""	""	0	0
4	3	9	0.038529625616854205	0	0	""	6.237756056293172	0	""	0	1
4	3	10	0.017224362872846358	0	0	""	""	""	""	0	0
4	3	11	0.021348456477978242	0	0	""	""	""	""	0	0
4	3	12	0.33097385461619944	0	0	""	5.74099168758741	0	""	0	1
4	4	1	3.5245648513515	0	0	19.102343725750266	5.544087792025138	0	0	1	1
4	4	2	1.6498327067620244	0	0	19.102343725750266	""	""	0	1	0
4	4	3	6.696853730840826	1	1	19.102343725750266	5.894145966992276	0.8027077638485496	0	1	1
4	4	4	2.587100097460583	0	0	19.102343725750266	""	""	0	1	0
4	4	5	6.495270501123754	1	1	19.102343725750266	5.692562737275203	0.8027077638485505	0	1	1
4	4	6	6.378546917806842	0	0	19.102343725750266	6.677924003764453	0	0	1	1
4	4	7	0	0	0	19.102343725750266	""	""	0	1	0
4	4	8	0.3571302972938264	0	0	19.102343725750266	""	""	0	1	0
4	4	9	7.040463820141724	1	1	19.102343725750266	6.237756056293172	0.8027077638485522	0	1	1
4	4	10	5.791650057964711	0	0	19.102343725750266	""	""	0	1	0
4	4	11	3.3742176988082404	0	0	19.102343725750266	""	""	0	1	0
4	4	12	3.1274028988565994	0	0	19.102343725750266	5.74099168758741	0	0	1	1
4	5	1	4.560071215096233	0	0	""	5.544087792025138	0	""	0	1
4	5	2	1.6027051907991299	0	0	""	""	""	""	0	0
4	5	3	5.455647524543194	0	0	""	5.894145966992276	0	""	0	1
4	5	4	2.2477073673526142	0	0	""	""	""	""	0	0
4	5	5	3.099027731025321	0	0	""	5.692562737275203	0	""	0	1
4	5	6	5.385748131131136	0	0	""	6.677924003764453	0	""	0	1
4	5	7	0	0	0	""	""	""	""	0	0
4	5	8	0.5590708997507088	0	0	""	""	""	""	0	0
4	5	9	5.328204214547464	0	0	""	6.237756056293172	0	""	0	1
4	5	10	4.988942294116159	1	1	""	""	""	""	0	0
4	5	11	2.8318631731720387	0	0	""	""	""	""	0	0
4	5	12	3.131471020423553	0	0	""	5.74099168758741	0	""	0	1
4	6	1	1.2508354491584484	0	0	""	5.544087792025138	0	""	0	1
4	6	2	1.1194989623737033	0	0	""	""	""	""	0	0
4	6	3	1.4639953235228016	0	0	""	5.894145966992276	0	""	0	1
4	6	4	1.9287428179076582	0	0	""	""	""	""	0	0
4	6	5	1.4135929387452606	0	0	""	5.692562737275203	0	""	0	1
4	6	6	3.240013714292891	0	0	""	6.677924003764453	0	""	0	1
4	6	7	0	0	0	""	""	""	""	0	0
4	6	8	4.519491102268354	1	1	""	""	""	""	0	0
4	6	9	1.8876905139419093	0	0	""	6.237756056293172	0	""	0	1
4	6	10	0.5032158208181827	0	0	""	""	""	""	0	0
4	6	11	0.6998783816211095	0	0	""	""	""	""	0	0
4	6	12	1.1981441853049866	0	0	""	5.74099168758741	0	""	0	1
4	7	1	1.8105361695660618	0	0	""	5.544087792025138	0	""	0	1
4	7	2	1.4275581840735132	0	0	""	""	""	""	0	0
4	7	3	5.094598653312849	0	0	""	5.894145966992276	0	""	0	1
4	7	4	4.303616247388117	1	1	""	""	""	""	0	0
4	7	5	3.132133701057736	0	0	""	5.692562737275203	0	""	0	1
4	7	6	4.846414993558095	0	0	""	6.677924003764453	0	""	0	1
4	7	7	0	0	0	""	""	""	""	0	0
4	7	8	0.35153909999596045	0	0	""	""	""	""	0	0
4	7	9	4.689594104917802	0	0	""	6.237756056293172	0	""	0	1
4	7	10	2.546613148637598	0	0	""	""	""	""	0	0
4	7	11	3.5053997991457018	0	0	""	""	""	""	0	0
4	7	12	2.2860491224952506	0	0	""	5.74099168758741	0	""	0	1
4	8	1	0.6225161470465201	0	0	""	5.544087792025138	0	""	0	1
4	8	2	4.893704866202266	0	0	""	""	""	""	0	0
4	8	3	0.7106120060853651	0	0	""	5.894145966992276	0	""	0	1
4	8	4	0.4538678077533425	0	0	""	""	""	""	0	0
4	8	5	0.5193659941714646	0	0	""	5.692562737275203	0	""	0	1
4	8	6	0.8585585384604681	0	0	""	6.677924003764453	0	""	0	1
4	8	7	2.580254165074777	1	1	""	""	""	""	0	0
4	8	8	0.4476774174127919	0	0	""	""	""	""	0	0
4	8	9	0.7742727604877204	0	0	""	6.237756056293172	0	""	0	1
4	8	10	0.3851700979928356	0	0	""	""	""	""	0	0
4	8	11	0.4596078117967668	0	0	""	""	""	""	0	0
4	8	12	1.0380698581702394	0	0	""	5.74099168758741	0	""	0	1
4	9	1	3.1587260213408115	0	0	""	5.544087792025138	0	""	0	1
4	9	2	2.474778596511141	0	0	""	""	""	""	0	0
